filename,sample_id,accession,path,study,bioproject_accession,biosample_accession,library_ID,library_strategy,library_source,platform,instrument_model,design_description,generator_facility,generator_contact,assembly,data_type,filetype,library_layout,library_selection,shear_method,title,total_bp,coverage,ntsm_score,ntsm_result,total_Gbp
HG02132-07a-2_S8_L003_R2_001.fastq.gz,HG02132,SRR30613784,s3://human-pangenomics/working/HPRC/HG02132/raw_data/hic/HG02132-07a-2_S8_L003_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26267382,HG02132-07a-2-2_S8_L003_R1_001-2_S8_L003_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02132,26948184205,8.69,0.462373,Similar,26.95
HG02132-07a-2_S8_L004_R2_001.fastq.gz,HG02132,SRR30613783,s3://human-pangenomics/working/HPRC/HG02132/raw_data/hic/HG02132-07a-2_S8_L004_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26267382,HG02132-07a-2-2_S8_L004_R1_001-2_S8_L004_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02132,26480019915,8.54,0.517041,Similar,26.48
HG02135-09a-1_S7_L001_R2_001.fastq.gz,HG02135,SRR30613721,s3://human-pangenomics/working/HPRC/HG02135/raw_data/hic/HG02135-09a-1_S7_L001_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26267392,HG02135-09a-1-1_S7_L001_R1_001-1_S7_L001_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02135,24842068966,8.01,0.496731,Similar,24.84
HG02135-09a-1_S7_L002_R2_001.fastq.gz,HG02135,SRR30613720,s3://human-pangenomics/working/HPRC/HG02135/raw_data/hic/HG02135-09a-1_S7_L002_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26267392,HG02135-09a-1-1_S7_L002_R1_001-1_S7_L002_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02135,24467614879,7.89,0.525349,Similar,24.47
HG02135-09a-1_S7_L003_R2_001.fastq.gz,HG02135,SRR30613719,s3://human-pangenomics/working/HPRC/HG02135/raw_data/hic/HG02135-09a-1_S7_L003_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26267392,HG02135-09a-1-1_S7_L003_R1_001-1_S7_L003_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02135,23940236444,7.72,0.543505,Similar,23.94
HG02135-09a-1_S7_L004_R2_001.fastq.gz,HG02135,SRR30613718,s3://human-pangenomics/working/HPRC/HG02135/raw_data/hic/HG02135-09a-1_S7_L004_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26267392,HG02135-09a-1-1_S7_L004_R1_001-1_S7_L004_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02135,23817928834,7.68,0.507607,Similar,23.82
HG02135-09a-2_S8_L001_R2_001.fastq.gz,HG02135,SRR30613717,s3://human-pangenomics/working/HPRC/HG02135/raw_data/hic/HG02135-09a-2_S8_L001_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26267392,HG02135-09a-2-2_S8_L001_R1_001-2_S8_L001_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02135,22097891065,7.13,0.503621,Similar,22.1
HG02135-09a-2_S8_L002_R2_001.fastq.gz,HG02135,SRR30613716,s3://human-pangenomics/working/HPRC/HG02135/raw_data/hic/HG02135-09a-2_S8_L002_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26267392,HG02135-09a-2-2_S8_L002_R1_001-2_S8_L002_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02135,21817542943,7.04,0.517653,Similar,21.82
HG02135-09a-2_S8_L003_R2_001.fastq.gz,HG02135,SRR30613714,s3://human-pangenomics/working/HPRC/HG02135/raw_data/hic/HG02135-09a-2_S8_L003_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26267392,HG02135-09a-2-2_S8_L003_R1_001-2_S8_L003_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02135,21417665897,6.91,0.500882,Similar,21.42
HG02135-09a-2_S8_L004_R2_001.fastq.gz,HG02135,SRR30613713,s3://human-pangenomics/working/HPRC/HG02135/raw_data/hic/HG02135-09a-2_S8_L004_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26267392,HG02135-09a-2-2_S8_L004_R1_001-2_S8_L004_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02135,21378942973,6.9,0.515619,Similar,21.38
HG02280-46c-1_S13_L001_R2_001.fastq.gz,HG02280,SRR30613712,s3://human-pangenomics/working/HPRC/HG02280/raw_data/hic/HG02280-46c-1_S13_L001_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26237505,HG02280-46c-1-1_S13_L001_R1_001-1_S13_L001_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02280,27007036532,8.71,0.461734,Similar,27.01
HG02280-46c-1_S13_L002_R2_001.fastq.gz,HG02280,SRR30613711,s3://human-pangenomics/working/HPRC/HG02280/raw_data/hic/HG02280-46c-1_S13_L002_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26237505,HG02280-46c-1-1_S13_L002_R1_001-1_S13_L002_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02280,26853858187,8.66,0.491499,Similar,26.85
HG02280-46c-1_S13_L003_R2_001.fastq.gz,HG02280,SRR30613710,s3://human-pangenomics/working/HPRC/HG02280/raw_data/hic/HG02280-46c-1_S13_L003_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26237505,HG02280-46c-1-1_S13_L003_R1_001-1_S13_L003_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02280,26912776798,8.68,0.463409,Similar,26.91
HG02280-46c-1_S13_L004_R2_001.fastq.gz,HG02280,SRR30613709,s3://human-pangenomics/working/HPRC/HG02280/raw_data/hic/HG02280-46c-1_S13_L004_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26237505,HG02280-46c-1-1_S13_L004_R1_001-1_S13_L004_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02280,25811731567,8.33,0.469492,Similar,25.81
HG02280-46c-2_S14_L001_R2_001.fastq.gz,HG02280,SRR30613708,s3://human-pangenomics/working/HPRC/HG02280/raw_data/hic/HG02280-46c-2_S14_L001_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26237505,HG02280-46c-2-2_S14_L001_R1_001-2_S14_L001_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02280,23651138413,7.63,0.486619,Similar,23.65
HG02280-46c-2_S14_L002_R2_001.fastq.gz,HG02280,SRR30613707,s3://human-pangenomics/working/HPRC/HG02280/raw_data/hic/HG02280-46c-2_S14_L002_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26237505,HG02280-46c-2-2_S14_L002_R1_001-2_S14_L002_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02280,23536952548,7.59,0.478321,Similar,23.54
HG02280-46c-2_S14_L003_R2_001.fastq.gz,HG02280,SRR30613649,s3://human-pangenomics/working/HPRC/HG02280/raw_data/hic/HG02280-46c-2_S14_L003_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26237505,HG02280-46c-2-2_S14_L003_R1_001-2_S14_L003_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02280,23555669892,7.6,0.474581,Similar,23.56
HG02280-46c-2_S14_L004_R2_001.fastq.gz,HG02280,SRR30613698,s3://human-pangenomics/working/HPRC/HG02280/raw_data/hic/HG02280-46c-2_S14_L004_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26237505,HG02280-46c-2-2_S14_L004_R1_001-2_S14_L004_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02280,22450881162,7.24,0.471718,Similar,22.45
HG02293-54d-1_S7_L001_R2_001.fastq.gz,HG02293,SRR30613700,s3://human-pangenomics/working/HPRC/HG02293/raw_data/hic/HG02293-54d-1_S7_L001_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26267394,HG02293-54d-1-1_S7_L001_R1_001-1_S7_L001_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02293,35543050827,11.47,0.397108,Similar,35.54
HG02293-54d-1_S7_L002_R2_001.fastq.gz,HG02293,SRR30613701,s3://human-pangenomics/working/HPRC/HG02293/raw_data/hic/HG02293-54d-1_S7_L002_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26267394,HG02293-54d-1-1_S7_L002_R1_001-1_S7_L002_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02293,35697002817,11.52,0.37701,Similar,35.7
HG02293-54d-1_S7_L003_R2_001.fastq.gz,HG02293,SRR30613702,s3://human-pangenomics/working/HPRC/HG02293/raw_data/hic/HG02293-54d-1_S7_L003_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26267394,HG02293-54d-1-1_S7_L003_R1_001-1_S7_L003_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02293,33985769634,10.96,0.404327,Similar,33.99
HG02293-54d-1_S7_L004_R2_001.fastq.gz,HG02293,SRR30613703,s3://human-pangenomics/working/HPRC/HG02293/raw_data/hic/HG02293-54d-1_S7_L004_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26267394,HG02293-54d-1-1_S7_L004_R1_001-1_S7_L004_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02293,33241716084,10.72,0.402871,Similar,33.24
HG02293-54d-2_S8_L001_R2_001.fastq.gz,HG02293,SRR30613704,s3://human-pangenomics/working/HPRC/HG02293/raw_data/hic/HG02293-54d-2_S8_L001_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26267394,HG02293-54d-2-2_S8_L001_R1_001-2_S8_L001_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02293,30390117754,9.8,0.35135,Similar,30.39
HG02293-54d-2_S8_L002_R2_001.fastq.gz,HG02293,SRR30613632,s3://human-pangenomics/working/HPRC/HG02293/raw_data/hic/HG02293-54d-2_S8_L002_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26267394,HG02293-54d-2-2_S8_L002_R1_001-2_S8_L002_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02293,30497273150,9.84,0.366042,Similar,30.5
HG02293-54d-2_S8_L003_R2_001.fastq.gz,HG02293,SRR30613633,s3://human-pangenomics/working/HPRC/HG02293/raw_data/hic/HG02293-54d-2_S8_L003_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26267394,HG02293-54d-2-2_S8_L003_R1_001-2_S8_L003_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02293,28761038569,9.28,0.331801,Similar,28.76
HG02293-54d-2_S8_L004_R2_001.fastq.gz,HG02293,SRR30613634,s3://human-pangenomics/working/HPRC/HG02293/raw_data/hic/HG02293-54d-2_S8_L004_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26267394,HG02293-54d-2-2_S8_L004_R1_001-2_S8_L004_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02293,27985846212,9.03,0.364695,Similar,27.99
HG02300-42a-1_S21_L001_R2_001.fastq.gz,HG02300,SRR30613705,s3://human-pangenomics/working/HPRC/HG02300/raw_data/hic/HG02300-42a-1_S21_L001_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26267395,HG02300-42a-1-1_S21_L001_R1_001-1_S21_L001_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02300,14799529918,4.77,0.534988,Similar,14.8
HG02300-42a-1_S21_L002_R2_001.fastq.gz,HG02300,SRR30613706,s3://human-pangenomics/working/HPRC/HG02300/raw_data/hic/HG02300-42a-1_S21_L002_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26267395,HG02300-42a-1-1_S21_L002_R1_001-1_S21_L002_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02300,12119543983,3.91,0.540573,Similar,12.12
HG02300-42a-1_S21_L003_R2_001.fastq.gz,HG02300,SRR30613638,s3://human-pangenomics/working/HPRC/HG02300/raw_data/hic/HG02300-42a-1_S21_L003_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26267395,HG02300-42a-1-1_S21_L003_R1_001-1_S21_L003_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02300,12272585778,3.96,0.561617,Similar,12.27
HG02300-42a-1_S21_L004_R2_001.fastq.gz,HG02300,SRR30613639,s3://human-pangenomics/working/HPRC/HG02300/raw_data/hic/HG02300-42a-1_S21_L004_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26267395,HG02300-42a-1-1_S21_L004_R1_001-1_S21_L004_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02300,14676854580,4.73,0.549398,Similar,14.68
HG02300-42a-2_S22_L001_R2_001.fastq.gz,HG02300,SRR30613640,s3://human-pangenomics/working/HPRC/HG02300/raw_data/hic/HG02300-42a-2_S22_L001_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26267395,HG02300-42a-2-2_S22_L001_R1_001-2_S22_L001_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02300,21376118049,6.9,0.50402,Similar,21.38
HG02300-42a-2_S22_L002_R2_001.fastq.gz,HG02300,SRR30613641,s3://human-pangenomics/working/HPRC/HG02300/raw_data/hic/HG02300-42a-2_S22_L002_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26267395,HG02300-42a-2-2_S22_L002_R1_001-2_S22_L002_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02300,17244701908,5.56,0.496218,Similar,17.24
HG02300-42a-2_S22_L003_R2_001.fastq.gz,HG02300,SRR30613642,s3://human-pangenomics/working/HPRC/HG02300/raw_data/hic/HG02300-42a-2_S22_L003_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26267395,HG02300-42a-2-2_S22_L003_R1_001-2_S22_L003_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02300,17608804712,5.68,0.507868,Similar,17.61
HG02300-42a-2_S22_L004_R2_001.fastq.gz,HG02300,SRR30613643,s3://human-pangenomics/working/HPRC/HG02300/raw_data/hic/HG02300-42a-2_S22_L004_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26267395,HG02300-42a-2-2_S22_L004_R1_001-2_S22_L004_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02300,20918279897,6.75,0.498707,Similar,20.92
HG02615-25b-1_S3_L001_R2_001.fastq.gz,HG02615,SRR30613628,s3://human-pangenomics/working/HPRC/HG02615/raw_data/hic/HG02615-25b-1_S3_L001_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26237508,HG02615-25b-1-1_S3_L001_R1_001-1_S3_L001_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02615,20894328415,6.74,0.445679,Similar,20.89
HG02615-25b-1_S3_L002_R2_001.fastq.gz,HG02615,SRR30613627,s3://human-pangenomics/working/HPRC/HG02615/raw_data/hic/HG02615-25b-1_S3_L002_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26237508,HG02615-25b-1-1_S3_L002_R1_001-1_S3_L002_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02615,20413987000,6.59,0.493184,Similar,20.41
HG02615-25b-1_S3_L003_R2_001.fastq.gz,HG02615,SRR30613626,s3://human-pangenomics/working/HPRC/HG02615/raw_data/hic/HG02615-25b-1_S3_L003_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26237508,HG02615-25b-1-1_S3_L003_R1_001-1_S3_L003_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02615,20245909857,6.53,0.461418,Similar,20.25
HG02615-25b-1_S3_L004_R2_001.fastq.gz,HG02615,SRR30613902,s3://human-pangenomics/working/HPRC/HG02615/raw_data/hic/HG02615-25b-1_S3_L004_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26237508,HG02615-25b-1-1_S3_L004_R1_001-1_S3_L004_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02615,19952830466,6.44,0.472073,Similar,19.95
HG02615-25b-2_S4_L001_R2_001.fastq.gz,HG02615,SRR30613781,s3://human-pangenomics/working/HPRC/HG02615/raw_data/hic/HG02615-25b-2_S4_L001_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26237508,HG02615-25b-2-2_S4_L001_R1_001-2_S4_L001_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02615,16022687684,5.17,0.526642,Similar,16.02
HG02615-25b-2_S4_L002_R2_001.fastq.gz,HG02615,SRR30613780,s3://human-pangenomics/working/HPRC/HG02615/raw_data/hic/HG02615-25b-2_S4_L002_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26237508,HG02615-25b-2-2_S4_L002_R1_001-2_S4_L002_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02615,15677433707,5.06,0.515238,Similar,15.68
HG02615-25b-2_S4_L003_R2_001.fastq.gz,HG02615,SRR30613898,s3://human-pangenomics/working/HPRC/HG02615/raw_data/hic/HG02615-25b-2_S4_L003_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26237508,HG02615-25b-2-2_S4_L003_R1_001-2_S4_L003_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02615,15686118294,5.06,0.519644,Similar,15.69
HG02615-25b-2_S4_L004_R2_001.fastq.gz,HG02615,SRR30613897,s3://human-pangenomics/working/HPRC/HG02615/raw_data/hic/HG02615-25b-2_S4_L004_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26237508,HG02615-25b-2-2_S4_L004_R1_001-2_S4_L004_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02615,15309287164,4.94,0.528476,Similar,15.31
HG02647-36b-1_S19_L001_R2_001.fastq.gz,HG02647,SRR30613896,s3://human-pangenomics/working/HPRC/HG02647/raw_data/hic/HG02647-36b-1_S19_L001_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26267383,HG02647-36b-1-1_S19_L001_R1_001-1_S19_L001_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02647,19693914032,6.35,0.527906,Similar,19.69
HG02647-36b-1_S19_L002_R2_001.fastq.gz,HG02647,SRR30613895,s3://human-pangenomics/working/HPRC/HG02647/raw_data/hic/HG02647-36b-1_S19_L002_R2_001.fastq.gz,SRP305758,PRJNA701308,SAMN26267383,HG02647-36b-1-1_S19_L002_R1_001-1_S19_L002_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG02647,19277241850,6.22,0.543797,Similar,19.28
